username,post_id,post_url,content_type,published_at,caption,views,likes,comments,favorites,shares,captured_at
astrologywiki,7663445797949721869,https://www.tiktok.com/@astrologywiki/video/7663445797949721869,video,2026-07-18T13:00:00.000Z,"July 19th. Jupiter, Pluto, Uranus, Neptune — all at 4 degrees. This hasn't happened in decades. #astrology #astrologytiktok #alignment",582,21,1,8,1,2026-07-20T06:37:10.383Z
astrologywiki,7663039564482710798,https://www.tiktok.com/@astrologywiki/video/7663039564482710798,video,2026-07-16T14:45:00.000Z,"Cancer, Libra, Aquarius Moon — did we get you? 🌙 Comment your Moon sign below. Full Moon report in bio. #moonsign #cancer #libra #aquarius #astrology",322,5,1,0,0,2026-07-20T06:37:10.383Z
astrologywiki,7662283840634866957,https://www.tiktok.com/@astrologywiki/video/7662283840634866957,video,2026-07-14T15:50:00.000Z,"Earth Moon signs, did we get you? 🪨 Comment your Moon sign below. Full Moon report 👉 astrologywiki.com/q1antwecmyhpax  #astrotok #moonsigns #zodiac #earthsigns",145,1,0,0,0,2026-07-20T06:37:10.383Z
astrologywiki,7661912847693188365,https://www.tiktok.com/@astrologywiki/video/7661912847693188365,video,2026-07-13T15:30:00.000Z,"July 14, 2026 · Cancer New Moon  What no longer feels like home?  Check where Cancer lands in your birth chart. astrologywiki.com/q1antwecmyhpax #astrology #astrologytiktok #cancer #cancermoon",973,15,0,0,0,2026-07-20T06:37:10.383Z
astrologywiki,7660826807507094798,https://www.tiktok.com/@astrologywiki/video/7660826807507094798,video,2026-07-10T17:00:00.000Z,"Fire Moon signs, did we get you? 🔥 Comment your Moon sign below. Full Moon report in astrologywiki.com/q138hqh74fc6f7 #moonsign #astrology #astrologytiktok #birthchart #leo #aries #sagittarius",159,8,0,1,0,2026-07-20T06:37:10.383Z
astrologywiki,7660473423038041358,https://www.tiktok.com/@astrologywiki/video/7660473423038041358,video,2026-07-09T15:45:00.000Z,Your toxic trait according to your Moon sign 🔗Get full Moon sign report: www.astrology.com #moonsign #astrology #astrologytiktok #scorpio #gemini #pisces #birthchart #shadowwork,308,6,1,1,0,2026-07-20T06:37:10.383Z
astrologywiki,7660401338701974798,https://www.tiktok.com/@astrologywiki/video/7660401338701974798,video,2026-07-09T05:50:11.000Z,"Venus in Virgo is receipt season. Pay attention to the patterns: who follows through, where your energy goes, and what your daily habits are quietly revealing. #VenusInVirgo #VenusEntersVirgo #Astrology #AstrologyTikTok#VenusTransit #AstrologyWiki #venus #virgo",350,19,1,4,0,2026-07-20T06:37:10.383Z
astrologywiki,7659748708950609165,https://www.tiktok.com/@astrologywiki/video/7659748708950609165,video,2026-07-07T17:55:00.000Z,Haaland and Isabel's synastry💗 Try your own relationship chart on AstrologyWiki:⬇️ astrologywiki.com/q13bmvn1154fvl #birthchart #zodiacsign #astrology #Cancer #worldcup #haaland,453,3,0,0,1,2026-07-20T06:37:10.383Z
astrologywiki,7659773834345647374,https://www.tiktok.com/@astrologywiki/video/7659773834345647374,video,2026-07-07T13:15:22.000Z,"Rhaenyra's conflict in House of the Dragon is about power, recognition, inheritance, and public authority. Astrology angle: 10th house pressure + 8th house power. Read the character astrology breakdown on AstrologyWiki: astrologywiki.com/q11sgleuym1xt7 #HouseOfTheDragon #RhaenyraTargaryen #Astrology #CharacterAstrology #AstrologyWiki",361,14,0,0,0,2026-07-20T06:37:10.383Z
astrologywiki,7657074482648993037,https://www.tiktok.com/@astrologywiki/video/7657074482648993037,video,2026-06-30T06:39:52.000Z,Read the full birth chart overview: https://www.astrologywiki.com/en/wiki/erling-haaland-birth-chart,800,10,0,0,1,2026-07-20T06:37:10.383Z
filestarsx,7664487396867656991,https://www.tiktok.com/@filestarsx/video/7664487396867656991,video,2026-07-20T06:06:07.000Z,what a great win🥳  Good night everyone  Hope that I can fall asleep tonight #worldcup #spain ,31,1,0,0,0,2026-07-20T06:37:10.383Z
filestarsx,7663333677438438686,https://www.tiktok.com/@filestarsx/photo/7663333677438438686,photo,,Astrology reading Two ♋️ sun #worldcup #messi #yamal #worldcup #astrology ,395,,,,,2026-07-20T06:37:10.383Z
filestarsx,7662341959507332383,https://www.tiktok.com/@filestarsx/photo/7662341959507332383,photo,,Lamont Yamal turned 19 yesterday and plays worldcup semi today - in his own Cancer season Which team do you pick? #worldcup #france #spain #astrology #birthchart ,1902,,,,,2026-07-20T06:37:10.383Z
miraaastrology,7663472486893374734,https://www.tiktok.com/@miraaastrology/video/7663472486893374734,video,2026-07-17T16:58:00.000Z,Scorpio doesn’t trust you until they’ve tested you #scorpio #zodiacsigns #astrology ,334,38,2,7,3,2026-07-20T06:37:10.383Z
miraaastrology,7663410404512566542,https://www.tiktok.com/@miraaastrology/video/7663410404512566542,video,2026-07-17T14:56:00.000Z,The biggest problem with Scorpio is they’ll leave before you get the chance to. but it’s not what you think #scorpio #astrology #zodiacsigns ,256,14,5,1,0,2026-07-20T06:37:10.383Z
miraaastrology,7662239701184597261,https://www.tiktok.com/@miraaastrology/video/7662239701184597261,video,2026-07-14T04:43:48.000Z,Dreaming about your ex this week? Blame Mercury retrograde at 21° Cancer 🌙 Find where it hits YOUR chart  #mercuryretrograde #ex #astrology  #cancer  #creatorsearchinsights ,386,24,0,1,0,2026-07-20T06:37:10.383Z
shirley527146,7663456266794142990,https://www.tiktok.com/@shirley527146/video/7663456266794142990,video,2026-07-17T11:25:35.000Z,Checking my transit before the day starts #transit #astrology ,0,0,0,0,0,2026-07-20T06:37:10.383Z
shirley527146,7662650075671317774,https://www.tiktok.com/@shirley527146/video/7662650075671317774,video,2026-07-15T14:44:00.000Z,Literally me right now #astrology #birthchart #astrologywiki ,184,3,0,0,0,2026-07-20T06:37:10.383Z
shirley527146,7662319263247568141,https://www.tiktok.com/@shirley527146/video/7662319263247568141,video,2026-07-14T16:29:00.000Z,Found astrologywiki does synastry charts and test me and my bf #astrology #synastry #couplecheck #birthchart ,161,1,0,0,0,2026-07-20T06:37:10.383Z
shirley527146,7662213851680738574,https://www.tiktok.com/@shirley527146/video/7662213851680738574,video,2026-07-14T03:03:28.000Z,When friends ask me for astrology advice #astrology #bigthree #birthchart #astrologyreadings ,135,0,0,0,0,2026-07-20T06:37:10.383Z
