关键词,归属页面,来源线索,挖掘依据,月搜索量,KD,CPC,Parent Keyword,判断
cheaper alternatives to semrush,主页,r/SEO 6天前13票87评论,替代词方向已验证有量semrush alternative3600/KD12,,,,,
alternatives to semrush,主页,r/SEO 2天前32票79评论,同上,,,,,
semrush alternatives,主页,高频话题变体,复数形态另测,,,,,
seo tools that are not semrush and ahrefs,主页,r/SEO 2天前17票42评论,长尾但意图极准,,,,,
cheap seo tools for beginners,主页,r/SEO价格抱怨帖群,结合已验证seo tools for small business350/KD6,,,,,
seo tool for new website,主页,r/juststart新站帖群,DR0受众自指,,,,,
seo tools for new websites,主页,同上,复数变体,,,,,
best free seo tools 2026,主页,年份修饰惯例,年份词通常KD较低,,,,,
seo software for small business,主页,已验证seo tools for small business的软件变体,同义词另测,,,,,
low authority site seo,主页,r/SEO低权重站帖,DR0受众自指,,,,,
seo for low authority sites,主页,同上,语序变体,,,,,
new site no traffic,主页,r/juststart案例帖,新站零流量,,,,,
what to do after checking search console,P0-1,r/SEO 14票35评论★,GSC看完不知下一步做什么,,,,,
how to use search console data,P0-1,同帖衍生,动作向,,,,,
google search console for beginners,P0-1,GSC帖群,新手向,,,,,
search console impressions no clicks new website,P0-1,r/SEO 1k曝光几次点击帖★,DR0+我们的核心症状,,,,,
impressions but no clicks new site,P0-1,同上,短变体,,,,,
normal ctr for new website,P0-1,同帖,基准比对需求,,,,,
what is a good ctr for seo,P0-1,同帖衍生,基准比对需求,,,,,
average ctr by position,P0-1,产品逻辑对应Sistrix曲线,基准比对需求,,,,,
ctr by search position,P0-1,同上,变体,,,,,
search console quick wins,P0-1,原产品名,补测,,,,,
pages ranking but no clicks,P0-1,症状变体,前批impressions but no clicks为0再试此变体,,,,,
ranking on page 2,P0-1,通俗说法,前批page 2 keywords为0再试此变体,,,,,
stuck on page 2 google,P0-1,通俗说法,同上,,,,,
internal linking opportunities,P0-2a,r/juststart如何找可内链的文章,机会向,,,,,
how to find internal linking opportunities,P0-2a,同上,问题式,,,,,
find relevant posts for internal linking,P0-2a,r/juststart原帖题,动作向,,,,,
internal linking strategy,P0-2a,r/SEO 14票40评论,策略向,,,,,
internal linking best practices,P0-2a,同帖群,惯例词,,,,,
internal link structure,P0-2a,r/SEO审计内链结构帖,结构向,,,,,
site architecture seo,P0-2a,r/juststart站点结构帖,结构向,,,,,
site structure seo,P0-2a,同上,变体,,,,,
internal linking for authority,P0-2a,r/SEO权重塑造帖18票,权重向,,,,,
link equity distribution,P0-2a,同帖专业术语,权重向,,,,,
pagerank sculpting,P0-2a,同帖专业术语,老术语可能仍有量,,,,,
how to audit internal links,P0-2a,r/SEO审计帖,问题式,已验证internal link audit700/KD5,,,,
internal link checker for wordpress,P0-2a,平台修饰,平台词通常KD低,,,,,
wordpress internal linking plugin,P0-2a,平台修饰,平台词,,,,,
orphan pages wordpress,P0-2b,平台修饰,平台词,,,,,
orphaned content,P0-2b,同义术语,orphan content前批为0试此变体,,,,,
pages not linked internally,P0-2b,白话变体,前批pages with no internal links为0试此变体,,,,,
pages with no internal links pointing to them,P0-2b,长尾白话,同上,,,,,
sitemap vs crawl comparison,P0-2b,产品机制对应,方法向,,,,,
crawl depth seo,P0-2b,相邻概念,孤岛的相邻问题,,,,,
crawl budget optimization,P0-2b,相邻概念,孤岛的后果,,,,,
google search console drop,P0-3,r/SEO 10票36评论原帖题,GSC下降,,,,,
search console traffic drop,P0-3,同上变体,GSC下降,,,,,
google search console drastic drop,P0-3,原帖题,长尾,,,,,
seo traffic down,P0-3,短变体,前批lost organic traffic为0试此变体,,,,,
organic traffic dropped,P0-3,时态变体,同上,,,,,
website traffic decreased,P0-3,同义,同上,,,,,
traffic drop diagnosis,P0-3,产品名对应,补测,,,,,
diagnose traffic drop seo,P0-3,语序变体,前批how to diagnose traffic drop为0,,,,,
recover from traffic drop,P0-3,恢复向,动作词,,,,,
how to recover lost organic traffic,P0-3,恢复向,问题式,,,,,
zero google clicks,P0-3,r/juststart案例帖原话,极端症状,,,,,
indexed but no clicks,P0-3,同帖,索引了但没点击,,,,,
indexed but not ranking,P0-3,相邻症状,高频新站问题,,,,,
cannibalized content,P0-5b,r/SEO诊断cannibalized content帖★,已验证keyword cannibalization checker300/KD1,,,,,
content cannibalization,P0-5b,同义变体,同上,,,,,
how to fix keyword cannibalization,P0-5b,r/SEO帖群,问题式,,,,,
how to spot keyword cannibalization,P0-5b,r/SEO 原帖题,问题式,,,,,
diagnose keyword cannibalization,P0-5b,r/SEO原帖题,动作向,,,,,
keyword cannibalization audit,P0-5b,审计变体,已验证internal link audit模式可复用,,,,,
categorize keywords,P0-5b,r/SEO批量归类帖★,聚类的同义说法未测过,,,,,
bulk categorize keywords,P0-5b,同上,规模修饰,,,,,
keyword categorization tool,P0-5b,同上工具化,工具后缀,,,,,
organize keywords by topic,P0-5b,白话变体,动作向,,,,,
sort keywords by intent,P0-5b,白话变体,动作向,,,,,
keyword mapping tool,P0-5b,相邻概念,映射向,,,,,
keyword mapping seo,P0-5b,同上,已验证topical map seo400/KD5同族,,,,,
keyword to url mapping,P0-5b,精确描述,映射向,,,,,
pillar cluster strategy,P0-5c,r/SEO 18票32评论原帖★,已验证topical map seo同族,,,,,
pillar page and cluster content,P0-5c,同上,完整表述,,,,,
content pillar strategy,P0-5c,同上变体,策略向,,,,,
how to build topical authority,P0-5c,r/SEO topical authority帖群★,已验证topical authority map250/KD4,,,,,
topical authority seo,P0-5c,同上,品类词,,,,,
build topical map,P0-5c,r/SEO最佳方式建topical map帖,动作向,,,,,
topical map template,P0-5c,模板向,模板词通常KD低,,,,,
semantic seo map,P0-5c,同义,语义向,,,,,
content gap analysis free,P0-5a,前次讨论降级但值得测量级,验证Content Gap是否真红海,,,,,
low competition keywords finder,P0-5a,已验证find low competition keywords800/KD26,工具化变体,,,,,
low kd keywords,P0-5a,r/SEO低KD词帖群★,行业黑话但可能有量,,,,,
low difficulty keywords,P0-5a,同上,变体,,,,,
easy keywords to rank for,P0-5a,白话变体,前批easy to rank keywords finder为0试此变体,,,,,
keywords for new websites,P0-5a,DR0受众自指,新站向,,,,,
keyword research for new site,P0-5a,同上,新站向,,,,,
long tail keyword finder,P0-5a,相邻品类,长尾词工具,,,,,
question keyword tool,P0-5a,相邻品类,问题词工具,,,,,
