product_name,platform,video_url,account_handle,publish_date,duration_seconds,caption,views,likes,comments,shares,topic,format_type,opening_text,hook,hook_type,structure,cta,replicable_elements,non_replicable_elements,adaptation_for_product,risk_note,analysis_confidence,analyzed_at
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7626740251087719694,angelic_oracle,,,"What should I know about today? A general reading...",35500,22,,,"daily/general oracle reading + app CTA","录屏（手机端 App/网页）",,"What should I know about today?","好奇缺口/日常提问","提问→抽取 reading→展示 Daily Free Reading 与 3/5/7-card 选项→App CTA","使用 App 免费 reading","今天我该知道什么→免费 reading 的录屏式产品短视频","crypto/token/返佣叙事；绝对预测","做 free birth chart/sky map/daily question 录屏，15-45s 展示问题到结果路径","播放与互动不成比例（35.5K 播放仅 22 赞）",medium,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7651763489819610381,angelic_oracle,,,"POV: your Oracle app knows the moon phase, your natal chart, AND live planetary alignments...",13200,3,,,"astrology + natal chart + live planetary alignments + oracle card 产品卖点组合","录屏","THERE'S A MOMENT RIGHT","POV: your Oracle app knows the moon phase, your natal chart, AND live planetary alignments","身份代入（POV）+ 产品卖点","POV 卖点罗列→App 综合能力展示","App","App 综合 moon phase + natal chart + planetary alignments → personalized reading 的卖点组合","币圈叙事；含推广内容标签不能当自然爆款","Your chart + today's sky in one view 的产品化 hook","含 TikTok 推广内容标签，非纯自然流量；13.2K 播放仅 3 赞",medium,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7645785368972889358,angelic_oracle,,,"A platform for the #spiritual #healers #lightworkers #starseeds #angels...",12500,,,,"reader marketplace/healer community/creator supply（供给侧招募）","录屏",,,"平台招募","供给侧招募内容",,,"crypto/招募叙事不适合","不适合直接借鉴",,low,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7631242737072885022,angelic_oracle,,,"（空标题）",8700,,,,"未能稳定读取，不推断","录屏",,,,,,,,,"公开接口仅播放量/音乐/时长，未读到文案，不据此推断",low,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7626058752675958030,angelic_oracle,,,"How to use AngelicOracle? Now there is a guide!!!",8000,,,,"产品教程/onboarding","录屏",,"How to use AngelicOracle? Now there is a guide","工具演示/降低门槛","教程 → 降低使用门槛","App","How to use/guide 降低使用门槛","","How to read your birth chart 教程录屏",,medium,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7648683291737984269,angelic_oracle,,,"Subscriber benefits - 20% off all Live sessions...",3800,,,,"会员权益 + live reader 交易激励","录屏",,,"会员/交易激励","会员权益 + 交易激励",,,"返佣/交易激励不适合","不适合直接借鉴",,low,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@costarastrology/video/7445107870426811691,costarastrology,,,"leo venuses rise",1580000,,,,"placement 情绪状态 meme","meme（黑底白字 + 奔跑马群素材）","leo venuses rise","leo venuses rise","身份代入（placement 标签）","placement 标签 + 强情绪状态 + meme 素材","无","placement-based emotional meme","","[placement] when they finally stop checking the text thread，自制星空/城市背景不真人",,medium,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@costarastrology/video/7524858817239141663,costarastrology,,,"❤️",117500,,,,"关系/生活方式梗","meme（模糊夜路背景 + 居中文字列表）",,,"关系痛点","低成本移动背景 + 5-7 行极短行为清单","无","低成本移动背景 + 极短行为清单","","移动背景 + 居中文字的 transit feeling post",,medium,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@costarastrology/video/7535171262851599671,costarastrology,,,"let go",58800,,,,"情绪命令","复古电视/影视片段式素材 + 极短情绪命令","let go","let go","情绪刺激","one phrase mood post","无","one phrase mood post","不要直接搬影视/版权片段","If this feels too specific, check the house it lands in 软 CTA","影视片段有版权风险",medium,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7213447863840410922,thepattern,,93,"3/23/23: ICONIC MOVEMENT, EXTRAORDINARY MOMENT - Pluto enters Aquarius",2610000,350700,,69200,"长期天象解释（Pluto enters Aquarius）","宇宙背景 + 大字幕 + 音频波形",,"ICONIC MOVEMENT, EXTRAORDINARY MOMENT - Pluto enters Aquarius","名人热点/大事件","日期/天象→这是什么时刻→你可能正在经历什么→注意力放哪→link in bio/App","link in bio / App 查看个人影响","大事件长解释 Today's sky/transit 系列，真实天象视觉（saves 约 55.5K）","App 品牌话术；绝对预测","Why [outer planet] in [sign] matters for more than your horoscope；结尾轻放 birth chart/transit 工具","不要把 personalized insight 包装成绝对预测",high,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7568725170450369822,thepattern,,23,"The Super Full Moon in Taurus on November 5th...",701400,71900,,13700,"满月 + 关系/安全感","月亮视觉 + 极简字幕","INTIMACY SUPERMOON",,"关系痛点","满月压缩成强情绪命题","App","Moon prompt 短版（saves 约 7.8K）","","This [sign] Full Moon is asking you to [action]. Check which house [sign] rules","不要绝对预测",high,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7557073357821201695,thepattern,,25,"On October 6th, the Full Moon in Aries is about stepping into your power",688000,109300,,8900,"勇气/信任/radical change","月亮视觉 + 极简字幕",,"stepping into your power","情绪刺激","满月 → 一个心理行动","App","Moon prompt 短版（saves 约 14.1K）","","This Aries Full Moon is asking you to step into your power",,high,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7158159083273588010,thepattern,,89,"New Moon in Scorpio & Partial Solar Eclipse on Oct. 25 - p.1",510000,,,,"新月 + 日食 + Scorpio","宇宙/月亮视觉 + 大字幕",,,"大事件","日期/天象 → 解释 → 落点","App","大事件长解释系列","App 品牌话术","Timely transit explainer 长版",,medium,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7229374723241594158,thepattern,,80,"Feeling the intensity? We all are. Here's why... Scorpio Full Moon & Lunar Eclipse",488300,,,11500,"强情绪/秘密/阴影/转化","宇宙/月亮视觉 + 大字幕",,"Feeling the intensity? We all are. Here's why","好奇缺口/情绪刺激","提问 → 解释天象 → 情绪落点","App","强情绪命题 + 天象解释","App 品牌话术","Feeling the intensity? Here's the transit behind it",,medium,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@promentalityx/video/7654674644355550478,promentalityx,,56,"The Psychology of a Leo Personality",,,,,"星座心理 / self-awareness","AI podcast 切片","The Psychology of a Leo Personality","The Psychology of a Leo Personality","身份代入 / 心理","AI 播客口播讲人格心理","无明显硬 CTA","The Psychology of [Sign/Placement] 模板（saves/shares 强）","","The Psychology of Leo Moon / Why Scorpio Rising feels hard to read","软化绝对化，回连 Sun/Moon/Rising/Venus/宫位",medium,2026-07-07
