product_name,platform,video_url,account_handle,note,status
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7626740251087719694,angelic_oracle,"35.5K views；daily/general reading + app CTA",done
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7651763489819610381,angelic_oracle,"13.2K views；natal chart+planetary alignments 产品卖点组合，含推广内容标签",done
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7645785368972889358,angelic_oracle,"12.5K views；reader marketplace/供给侧招募",done
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7631242737072885022,angelic_oracle,"8.7K views；空标题，仅播放量/音乐/时长可读",done
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7626058752675958030,angelic_oracle,"8.0K views；产品教程/onboarding",done
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle/video/7648683291737984269,angelic_oracle,"3.8K views；会员权益 + live 交易激励",done
AstrologyWiki,TikTok,https://www.tiktok.com/@costarastrology/video/7445107870426811691,costarastrology,"1.58M views；leo venuses rise，placement emotional meme",done
AstrologyWiki,TikTok,https://www.tiktok.com/@costarastrology/video/7524858817239141663,costarastrology,"117.5K views；❤️ 关系/生活方式梗",done
AstrologyWiki,TikTok,https://www.tiktok.com/@costarastrology/video/7535171262851599671,costarastrology,"58.8K views；let go 情绪命令",done
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7213447863840410922,thepattern,"2.61M views；Pluto enters Aquarius 长天象解释",done
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7568725170450369822,thepattern,"701.4K views；Taurus Supermoon",done
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7557073357821201695,thepattern,"688.0K views；Aries Full Moon",done
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7158159083273588010,thepattern,"510.0K views；New Moon in Scorpio + 日食",done
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern/video/7229374723241594158,thepattern,"488.3K views；Scorpio Full Moon + 月食",done
AstrologyWiki,TikTok,https://www.tiktok.com/@promentalityx/video/7654674644355550478,promentalityx,"The Psychology of a Leo Personality；56s AI podcast，saves/shares 强",done
AstrologyWiki,TikTok,/Users/pengman/Desktop/录屏2026-07-08 23.10.39.mov,,"本地样本 A；Venus enters Virgo 多星座长口播",done
AstrologyWiki,TikTok,/Users/pengman/Downloads/v15044gf0000d96mm57og65mh2lvm51g.mp4,,"本地样本 B；Neptune retrograde in Aries 心理诊断型长口播",done
AstrologyWiki,TikTok,/Users/pengman/Downloads/v12044gd0000d97h2cfog65l2e143pi0.mp4,,"本地样本 C；Venus in Virgo 单星座短口播",done
AstrologyWiki,TikTok,/Users/pengman/Downloads/v15044gf0000d93ns2nog65vfbo2uthg.mp4,,"本地样本 D；Aries 人格娱乐型播客切片",done
