关键词,归属,语义方向,测试假设,月搜索量,KD,CPC,Parent Keyword,判断
keyword gap,P0-5,缺口型,Ahrefs/Semrush的功能名可能已成品类词,,,,,
keyword gap analysis,P0-5,缺口型,同上完整表述,,,,,
keyword gap analysis tool,P0-5,缺口型,工具化,,,,,
competitor keyword gap,P0-5,缺口型,竞品向,,,,,
content gap analysis,P0-5,缺口型,content gap analysis free为0试无free版,,,,,
content gap analysis tool,P0-5,缺口型,工具化,,,,,
content gap seo,P0-5,缺口型,品类化,,,,,
untapped keywords,P0-5,未开发型★,核心假设词,,,,,
untapped keyword opportunities,P0-5,未开发型★,完整表述,,,,,
untapped niche keywords,P0-5,未开发型,细分修饰,,,,,
find untapped keywords,P0-5,未开发型,动作向,,,,,
hidden keywords seo,P0-5,隐藏型★,核心假设词,,,,,
hidden keyword opportunities,P0-5,隐藏型,完整表述,,,,,
keywords competitors are missing,P0-5,缺失型,竞品向,,,,,
keywords im not ranking for,P0-5,缺失型★,第一人称真实表述,,,,,
keywords i should be ranking for,P0-5,缺失型★,第一人称真实表述,,,,,
what keywords am i missing,P0-5,缺失型,问题式,,,,,
missing keywords seo,P0-5,缺失型,简短式,,,,,
discover new keywords,P0-5,发现型,动作向,,,,,
find new keywords,P0-5,发现型,动作向,,,,,
new keyword ideas,P0-5,发现型,名词向,,,,,
keyword discovery tool,P0-5,发现型★,工具化核心假设,,,,,
keyword discovery,P0-5,发现型,品类化,,,,,
keyword opportunity analysis,P0-5,机会型,分析向,,,,,
keyword opportunities tool,P0-5,机会型,工具化,,,,,
niche keyword finder,P0-5,细分型,细分向,,,,,
niche keyword research,P0-5,细分型,细分向,,,,,
low hanging fruit keywords,P0-5,机会型,行业惯用语,,,,,
easy keywords for new sites,P0-5,DR0向,受众自指,,,,,
keywords for low authority sites,P0-5,DR0向,受众自指,,,,,
zero volume keywords,P0-5,新兴议题★,SEO圈近年热议AI搜索时代的零量词价值,,,,,
zero search volume keywords,P0-5,新兴议题★,同上完整表述,,,,,
long tail keyword research,P0-5,长尾型,long tail keyword finder KD88试研究向,,,,,
question based keywords,P0-5,问题词型,对应Prompt机制,,,,,
people also ask keywords,P0-5,问题词型,PAA是真实功能名,,,,,
ai search keywords,P0-5,GEO向★,对应Prompt发散机制,,,,,
llm keyword research,P0-5,GEO向★,新兴,,,,,
chatgpt keyword research,P0-5,GEO向★,新兴且品牌带量,,,,,
prompt research tool,P0-5,GEO向,对应工具原名Prompt机会地图,,,,,
