关键词,归属集群,来源,子词证据,月搜索量,KD,CPC,Parent Keyword,判断
internal linking,站点结构,基础概念词·未测过,该簇最核心的基础表述,,,,,
internal links,站点结构,基础概念词·未测过,单复数变体,,,,,
internal links seo,站点结构,★Ahrefs指认Parent,internal linking strategy(700)+internal linking opportunities(150),,,,,
internal linking seo,站点结构,★Ahrefs指认Parent,internal link structure(300),,,,,
internal linking tools,站点结构,★Ahrefs指认Parent,internal linking tool(700)+internal link opportunities(150),,,,,
internal link analysis,站点结构,★Ahrefs指认Parent,internal link analysis tool(100),,,,,
seo links,站点结构,★Ahrefs指认Parent,internal linking best practices(800),,,,,
website structure,站点结构,★Ahrefs指认Parent,site structure seo(700)+site architecture seo(600),,,,,
site structure,站点结构,基础概念词·未测过,website structure的简短变体,,,,,
website architecture,站点结构,基础概念词·未测过,同义,,,,,
information architecture seo,站点结构,基础概念词·未测过,更专业的表述,,,,,
site hierarchy seo,站点结构,基础概念词·未测过,层级向,,,,,
url structure seo,站点结构,相邻概念·未测过,结构簇的相邻话题,,,,,
crawl budget,站点结构,★Ahrefs指认Parent,crawl budget optimization(600),,,,,
crawl depth,站点结构,★Ahrefs指认Parent,crawl depth seo(20),,,,,
crawlability seo,站点结构,相邻概念·未测过,抓取向,,,,,
orphan pages,站点结构,★Ahrefs指认Parent,how to fix orphan pages(200),,,,,
how to find orphan pages on a website,站点结构,★Ahrefs指认Parent,how to find orphan pages(150)+orphan pages screaming frog(100),,,,,
broken link checker,站点结构,★Ahrefs指认Parent,broken internal links(600),,,,,
link equity,站点结构,基础概念词·未测过,已测link equity distribution(40/KD0)的上位词,,,,,
link juice,站点结构,老派同义词·未测过,行业惯用语可能仍有量,,,,,
anchor text seo,站点结构,相邻概念·未测过,已在P0-2功能里但未测词,,,,,
wordpress seo internal links,站点结构,★Ahrefs指认Parent,wordpress internal linking plugin(50),,,,,
wordpress orphaned content,站点结构,★Ahrefs指认Parent,orphaned content(90),,,,,
keyword research,关键词策略,★Ahrefs指认Parent·最大主题,14个子词合计20930/mo,,,,,
keyword strategy,关键词策略,基础概念词·未测过,策略向表述,,,,,
seo keyword strategy,关键词策略,基础概念词·未测过,变体,,,,,
keyword planning,关键词策略,基础概念词·未测过,规划向,,,,,
competitor keyword analysis,关键词策略,★Ahrefs指认Parent,keyword gap(1300)+keyword gap analysis(800),,,,,
keyword difficulty,关键词策略,★Ahrefs指认Parent,keyword difficulty checker free(800),,,,,
keyword cluster,关键词策略,★Ahrefs指认Parent,free keyword clustering tool(450),,,,,
keyword clustering tools,关键词策略,★Ahrefs指认Parent,best keyword clustering tool(250),,,,,
keyword clustering,关键词策略,基础概念词·未测过,不带tool的纯概念形态,,,,,
keyword mapping,关键词策略,★Ahrefs指认Parent,keyword mapping seo(150),,,,,
seo cannibalization,关键词策略,★Ahrefs指认Parent,how to fix keyword cannibalization(600),,,,,
topical authority,关键词策略,★Ahrefs指认Parent,how to build topical authority(150),,,,,
topical map,关键词策略,基础概念词·未测过,已测topical map seo(400/KD5)的裸词形态,,,,,
seo map,关键词策略,★Ahrefs指认Parent,topical map generator(70),,,,,
what is a content pillar,关键词策略,★Ahrefs指认Parent,content pillar strategy(200),,,,,
content pillar,关键词策略,基础概念词·未测过,裸词形态,,,,,
pillar page,关键词策略,基础概念词·未测过,已测pillar page tool为0试纯概念形态,,,,,
content hub seo,关键词策略,基础概念词·未测过,同义概念,,,,,
topic clusters seo,关键词策略,基础概念词·未测过,已测topic cluster tool为0试复数概念形态,,,,,
semantic seo,关键词策略,基础概念词·未测过,已测semantic keyword clustering(250/KD3)的上位词,,,,,
entity seo,关键词策略,新兴概念·未测过,与GEO策略相关,,,,,
how to research keywords for a niche,关键词策略,★Ahrefs指认Parent,niche keyword research(350),,,,,
how to find low hanging fruit keywords,关键词策略,★Ahrefs指认Parent,low hanging fruit keywords(150),,,,,
good quality but low traffic keywords,关键词策略,★Ahrefs指认Parent,low difficulty keywords(300),,,,,
small business keywords,关键词策略,★Ahrefs指认Parent,keyword research for small business(350),,,,,
keyword analysis for saas,关键词策略,★Ahrefs指认Parent,keyword research for saas(150),,,,,
content strategy seo,关键词策略,基础概念词·未测过,更上位的内容策略词,,,,,
seo content strategy,关键词策略,基础概念词·未测过,语序变体,,,,,
website traffic down,流量下降·二期,★Ahrefs指认Parent,sudden drop in website traffic(100),,,,,
why has my website traffic dropped,流量下降·二期,★Ahrefs指认Parent,why is my website traffic dropping(30),,,,,
organic traffic decline,流量下降·二期,基础概念词·未测过,概念形态,,,,,
seo traffic loss,流量下降·二期,基础概念词·未测过,概念形态,,,,,
google algorithm update impact,流量下降·二期,相邻概念·未测过,归因向,,,,,
click through rate seo,点击优化·二期,基础概念词·未测过,P0-1集群的概念主词,,,,,
organic ctr,点击优化·二期,基础概念词·未测过,简短变体,,,,,
serp ctr,点击优化·二期,基础概念词·未测过,变体,,,,,
title tag optimization,点击优化·二期,相邻概念·未测过,P0-1的具体动作,,,,,
meta description best practices,点击优化·二期,相邻概念·未测过,同上,,,,,
seo analysis,全站/主页,★Ahrefs指认Parent·最大主题,9个子词合计41450/mo含seo audit(18000),,,,,
seo checker,全站/主页,★Ahrefs指认Parent,5个子词合计5200/mo,,,,,
seo tools,全站/主页,★Ahrefs指认Parent,seo software for small business(700)等,,,,,
cheap seo,全站/主页,★Ahrefs指认Parent,affordable seo tools(1100)+cheap seo tools(1000),,,,,
all in one seo,全站/主页,★Ahrefs指认Parent,all in one seo tool(700),,,,,
generative engine optimization tools,全站/主页,★Ahrefs指认Parent,generative engine optimization tool(900),,,,,
generative engine optimization,全站/主页,基础概念词·未测过,GEO裸词形态,,,,,
ai search optimization,全站/主页,基础概念词·未测过,GEO同义,,,,,
answer engine optimization,全站/主页,新兴同义词·未测过,AEO是GEO的另一种叫法,,,,,
