product_name,platform,account_url,handle,followers,video_count,bio,recent_video_count,main_topics,main_formats,worth_tracking,reason,data_confidence,checked_at
AstrologyWiki,TikTok,https://www.tiktok.com/@angelic_oracle,angelic_oracle,161100,230,"Daily Oracle Card Readings on Solana / Hold AOC / AngelicOracle.io",243,"Oracle card/tarot/astrology/spiritual app/Solana AOC token/live reader marketplace 混合；占星是卖点之一但非唯一，crypto/token 占比高","录屏式产品展示：深紫色 App 界面、卡牌抽取/洗牌动画、功能页 + 强字幕 + 神秘音乐 + 短 CTA",yes,"证明录屏式产品短视频可获曝光，可借产品化表达；但头部播放与互动不成比例，crypto/返佣话术不适合 AstrologyWiki",best_effort,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@costarastrology,costarastrology,354700,381,"Astrology for real people. From your friends at Co-Star Reality Group.",381,"关系/城市生活/星座身份标签；早期真人街采，后期品牌 meme","早期 #nyc 街采/真人采访（不可模仿）；后期极简文字 + 流行音频 + 情绪镜头 + placement 标签",yes,"可借鉴后期低制作 placement mood/meme 短句钩子；真人街采不可复用，需回流工具页避免纯 meme 号",best_effort,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@thepattern,thepattern,86200,116,"Astrology that explains you + your relationships. Get your personal insights",116,"moon/eclipse/transit/relationships + App CTA；大天象事件解释 + 心理关系落点","宇宙/月亮/行星视觉素材 + 大字字幕 + 旁白/音频波形；非真人非采访",yes,"目前比 Co-Star 更适合借鉴的非真人品牌账号；大事件优于日常泛知识；可做 Today's sky/transit 系列",best_effort,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@astrowhispers8,astrowhispers8,19500,,"Learn about yourself, by your zodiac sign!",,"星座人格痛点/身份认同；Scorpio attracts.../guess which sign/[sign] always...","AI 视觉短片（AI 播客人像、暗黑星座场景）+ 星座符号 + 强情绪大字标题；多条标记 AI 生成",yes,"靠身份认同/情绪共鸣/评论诱导而非专业度；借标题抓力和 AI 视觉，不借绝对化，需补可信落点回流工具页",best_effort,2026-07-07
AstrologyWiki,TikTok,https://www.tiktok.com/@maxcartexofficial,maxcartexofficial,,,,,"psychology/women/behavior/zodiac signs，身份型钩子","AI podcast/talking-head，固定男主播 avatar + 大字幕 + 高情绪钩子",yes,"强 listicle 钩子（Five things Leo hates 等）；借固定 AI 主播 + 短列表结构，软化绝对化并回连 Sun/Moon/Rising/Venus/宫位",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@promentalityx,promentalityx,,,,,"zodiac psychology/self-awareness","AI podcast 式短切片",yes,"比纯 shock 钩子更 brand-safe；最适合借鉴的可信 AI 播客形式，如 The Psychology of Leo Moon",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@terryhales1,terryhales1,,,,,"情绪化直白星座观点；bio 导流 YouTube","AI 老年播客人设",yes,"强情绪冲突钩子；借长者权威 + 情绪痛点框架，避免脏话和无据星座排名",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@sanctuarywrld,sanctuarywrld,,,,,"占星 + 情绪陪伴，日常感","轻量年轻化日常推送，轻 CTA 到 App/birth chart",yes,"很适合参考年轻化语气和日常感；可测试 Today's sky feels like [emotion] 轻推送补量",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@chani.app,chani.app,,,,,"birth chart/daily horoscope/moon phases 完整内容体系","成熟品牌叙事，内容栏目化",unsure,"内容体系栏目化逻辑可参考；品牌成熟度需积累，不适合冷启动期照搬，中期参考",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@moonomens,moonomens,,,,,"神秘/宇宙/月相/能量提醒","强视觉风格，视觉识别度高",yes,"月相内容视觉参考；文案避免过度能量/宇宙用语，保持可验证落点；moon phase 系列制作前风格调研",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@alizakelly,alizakelly,,,,,"名人/流行文化切入占星解读","专业占星师个人品牌权威",yes,"很适合；名人星盘 + 性格/事件解释格式，已有 Haaland/Messi 选题时可直接借鉴",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@marenaltman,marenaltman,,,,,"事件预测/金融占星/强个人观点","强观点结构，预测型钩子",unsure,"观点型结构可参考；保守使用，不照搬金融占星或预测性表达以免信任风险",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@shawtyherbs,shawtyherbs,,,,,"星盘冷知识/技巧：asteroid/degree theory/Arabic parts","冷知识 + 你可能不知道钩子，易截图分享",yes,"很适合；短视频选题库重要来源，每条对应可查询的 AstrologyWiki 工具页，选题和批量生产优先参考",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@astrologybro,astrologybro,,,,,"星座刻板印象/榜单/强观点","评论区引导性强，榜单 + 猜猜哪个星座",yes,"适合补充轻互动内容（可 tag 朋友），不作为主线风格",manual,
AstrologyWiki,TikTok,https://www.tiktok.com/@astrotwins,astrotwins,,,,,"SEO/horoscope/love/career/money，栏目化成熟","内容栏目化，evergreen horoscope",unsure,"内容栏目规划参考；transit 多维度拆分（爱情/事业/金钱），中期内容矩阵设计时调研",manual,
AstrologyWiki,X,https://x.com/satyastrology,satyastrology,,,,,"传统占星，real transits，clarity & depth，信任建立","高频 transit 帖 + 短实用洞察 + 简单视觉 + 开放式提问；value first then conversion",yes,"适配格式而非传统占星定位；用心理占星 + 真实天文做差异化，transit 提问配免费工具/Wiki 页；避免过度术语",manual,
AstrologyWiki,Instagram,https://www.instagram.com/astrology.mn/,astrology.mn,,,,,"蒙古语占星视觉内容：transit 卡片/长周期行星/月周星象/星座解释/信息图","图片优先：大标题 + 日期 + 装饰视觉 + 短要点；基于 Pengman 截图，非完整抓取",yes,"借信息密度和层级结构非视觉风格；适配为更现代心理化风格，保留 AstrologyWiki 深蓝/米/暗金视觉系统，避免 pastel 杂乱",manual,
